place_id,city,n_obs,last_year,last_population,best_model,mae_ets,rmse_ets,2025_ets,2026_ets,2027_ets,2028_ets,2029_ets,mae_arima,rmse_arima,2025_arima,2026_arima,2027_arima,2028_arima,2029_arima,2025_forecast,2025_lower,2025_upper,2026_forecast,2026_lower,2026_upper,2027_forecast,2027_lower,2027_upper,2028_forecast,2028_lower,2028_upper,2029_forecast,2029_lower,2029_upper,pct_change_5y
0678582,"Thousand Oaks city, California",19,2024,124243,arima,4960,5353,123930,123758,123587,123417,123247,3479,3753,124255,124263,124267,124269,124271,124255,121790,126721,124263,120809,127716,124267,120067,128467,124269,119444,129095,124271,118896,129645,0.02
0616000,"Concord city, California",19,2024,124030,arima,7250,8017,124110,124182,124247,124304,124356,4893,5258,124120,124147,124156,124158,124159,124120,121466,126773,124147,120278,128017,124156,119340,128971,124158,118547,129770,124159,117849,130470,0.1
4853388,"Odessa city, Texas",19,2024,123861,arima,8324,9357,124423,125462,126458,127414,128330,5979,7035,123907,123883,123895,123889,123892,123907,118459,129355,123883,115835,131930,123895,114049,133742,123889,112459,135319,123892,111104,136680,0.03
2754880,"Rochester city, Minnesota",19,2024,123616,ets,1787,1958,124992,126039,127042,128003,128923,5712,5841,124062,124440,124762,125036,125269,124992,121964,128092,126039,123009,128988,127042,123973,130111,128003,124979,131048,128923,125821,131917,4.29
0681666,"Vallejo city, California",19,2024,123481,ets,1396,1543,125113,125631,126139,126637,127126,2430,2763,123573,123503,123557,123516,123547,125113,120870,129457,125631,121385,129765,126139,121839,130440,126637,122401,130905,127126,122778,131321,2.95
0464210,"San Tan Valley CDP, Arizona",14,2024,123211,ets,13219,18528,124364,127512,130645,133762,136863,21170,21747,124058,123708,123853,123793,123818,124364,110810,138240,127512,112563,141656,130645,114347,146334,133762,116932,150761,136863,119250,154111,11.08
2603000,"Ann Arbor city, Michigan",19,2024,122914,ets,1297,1532,120852,120900,120937,120968,120992,2706,3062,123546,123689,123722,123729,123731,120852,116047,125771,120900,116091,125581,120937,116068,125808,120968,116170,125801,120992,116068,125742,-1.56
0623182,"Fairfield city, California",19,2024,122654,ets,4470,5100,123114,124013,124907,125797,126682,5725,5830,122653,122654,122653,122654,122653,123114,118515,127823,124013,118544,129137,124907,118730,130887,125797,119059,132337,126682,119239,133539,3.28
0803455,"Arvada city, Colorado",19,2024,122529,ets,3617,4424,124508,125522,126530,127534,128533,4893,5982,122694,122575,122660,122599,122643,124508,121470,127618,125522,122016,128875,126530,122542,130400,127534,123213,131696,128533,123827,132874,4.9
2240735,"Lafayette city, Louisiana",19,2024,122273,arima,8992,9942,120985,120732,120530,120368,120238,3893,4497,122522,122356,122467,122392,122442,122522,119381,125662,122356,117712,126999,122467,116809,128125,122392,115813,128972,122442,115092,129791,0.14
0937000,"Hartford city, Connecticut",19,2024,122136,arima,4938,5326,120560,120472,120403,120347,120302,2519,2738,122456,122395,122407,122405,122405,122456,119682,125230,122395,118243,126547,122407,117268,127546,122405,116433,128376,122405,115705,129105,0.22
4009050,"Broken Arrow city, Oklahoma",19,2024,122131,ets,4039,4553,122031,123368,124672,125944,127184,8592,9066,122412,122344,122360,122357,122358,122031,117991,126168,123368,119326,127304,124672,120578,128768,125944,121910,130008,127184,123044,131178,4.14
0606000,"Berkeley city, California",19,2024,121730,arima,6112,6909,121823,122000,122153,122284,122397,2858,3231,122227,122355,122388,122396,122398,122227,116902,127553,122355,114122,130588,122388,111884,132891,122396,109999,134793,122398,108353,136444,0.55
2935000,"Independence city, Missouri",19,2024,121606,ets,2949,3055,121170,121521,121870,122217,122563,3094,3586,121595,121600,121598,121599,121598,121170,116814,125629,121521,117162,125764,121870,117456,126285,122217,117868,126598,122563,118099,126868,0.79
3006550,"Billings city, Montana",19,2024,121478,ets,5372,5880,123019,124388,125751,127107,128456,6845,8305,122430,123334,124194,125012,125790,123019,118223,127929,124388,118700,129717,125751,119333,131969,127107,120125,133892,128456,120719,135575,5.74
2511000,"Cambridge city, Massachusetts",19,2024,121203,ets,3125,3943,121016,121655,122243,122782,123278,5553,6385,123364,125525,127686,129847,132008,121016,115233,126936,121655,115869,127289,122243,116383,128104,122782,117009,128599,123278,117352,128994,1.71
2537000,"Lowell city, Massachusetts",19,2024,120418,ets,3660,4310,116602,117049,117460,117837,118183,3676,4381,119995,120285,120086,120222,120129,116602,112234,121075,117049,112678,121305,117460,113032,121888,117837,113475,122231,118183,113706,122501,-1.86
4841980,"League City city, Texas",18,2024,119398,ets,2360,2399,124100,126907,129690,132448,135183,13962,14106,119671,119707,119712,119712,119712,124100,119053,129267,126907,121857,131824,129690,124575,134806,132448,127409,137525,135183,130011,140172,13.22
0602252,"Antioch city, California",19,2024,118455,ets,1906,2018,117554,118422,119286,120145,121000,4698,4875,118464,118458,118462,118459,118461,117554,114236,120952,118422,115102,121655,119286,115923,122649,120145,116832,123483,121000,117599,124280,2.15
4861796,"Richardson city, Texas",19,2024,118217,arima,12075,13106,119420,120286,121148,122006,122860,7567,9346,118113,118136,118131,118132,118132,118113,113606,122619,118136,112095,124177,118131,110813,125449,118132,109740,126524,118132,108787,127477,-0.07
0428380,"Goodyear city, Arizona",14,2024,118175,ets,24255,24338,124008,129848,135659,141441,147194,24777,24778,122170,126166,130161,134157,138152,124008,116585,131606,129848,117955,141218,135659,119208,151935,141441,119716,162297,147194,119995,172254,24.56
1258050,"Pompano Beach city, Florida",19,2024,118110,arima,5043,5484,114585,115253,115919,116580,117239,4771,5077,118844,118554,118668,118623,118641,118844,116144,121543,118554,114385,122722,118668,113540,123797,118623,112650,124596,118641,111942,125340,0.45
1268350,"Spring Hill CDP, Florida",19,2024,117931,ets,9770,11049,123741,125364,126980,128587,130187,12139,13729,118661,119338,119968,120552,121095,123741,115582,132094,125364,117200,133313,126980,118711,135250,128587,120441,136794,130187,121826,138252,10.39
1656260,"Nampa city, Idaho",19,2024,117346,ets,11937,12527,119589,122030,124459,126876,129280,16411,17026,117291,117346,117291,117346,117291,119589,113260,126069,122030,113833,129841,124459,114845,133634,126876,115810,137387,129280,116906,140686,10.17
3731400,"High Point city, North Carolina",19,2024,117109,arima,4339,4507,117870,118561,119222,119853,120455,4154,4610,117209,117150,117185,117164,117176,117209,112949,121468,117150,111416,122884,117185,110143,124226,117164,109094,125233,117176,108157,126195,0.06
0646842,"Menifee city, California",14,2024,117045,arima,15180,15191,119834,122610,125371,128119,130853,14607,14625,120015,122984,125954,128924,131893,120015,115644,124386,122984,116720,129248,125954,118182,133726,128924,119835,138012,131893,121606,142181,12.69
3539380,"Las Cruces city, New Mexico",19,2024,116992,ets,8064,9178,118516,120078,121631,123177,124715,8241,9931,118360,119689,120979,122232,123449,118516,114048,123091,120078,113896,125974,121631,114173,128788,123177,114571,131259,124715,115004,133821,6.6
1212875,"Clearwater city, Florida",19,2024,116821,arima,5396,5928,117756,118205,118653,119098,119541,3444,4176,116821,116821,116821,116821,116821,116821,110516,123125,116821,107782,125860,116821,105718,127924,116821,103979,129663,116821,102449,131193,0.0
4982950,"West Jordan city, Utah",19,2024,116697,ets,2860,3242,118292,118837,119353,119843,120307,3543,4114,116546,116573,116568,116569,116569,118292,113066,123641,118837,113608,123927,119353,114058,124650,119843,114626,125099,120307,114952,125473,3.09
3345140,"Manchester city, New Hampshire",19,2024,116381,ets,2952,3108,116641,117013,117383,117751,118117,3737,3916,116366,116361,116360,116359,116359,116641,114910,118413,117013,114773,119145,117383,114756,119881,117751,114729,120619,118117,114743,121225,1.49
1245060,"Miami Gardens city, Florida",19,2024,116155,arima,4130,4690,113876,113932,113977,114012,114041,2460,2495,115766,116072,115831,116020,115872,115766,108389,123143,116072,106070,126073,115831,103483,128180,116020,101895,130146,115872,100035,131709,-0.24
1759000,"Peoria city, Illinois",19,2024,115996,arima,6240,6790,113695,113717,113735,113749,113760,4117,5168,116303,116383,116404,116410,116411,116303,111612,120993,116383,109426,123340,116404,107686,125123,116410,106214,126606,116411,104923,127900,0.36
0980000,"Waterbury city, Connecticut",19,2024,115902,ets,4429,4589,112966,113220,113473,113725,113976,4864,5437,115910,115905,115908,115906,115907,112966,107273,118793,113220,107524,118766,113473,107704,119243,113725,108042,119451,113976,108143,119603,-1.66
1723074,"Elgin city, Illinois",19,2024,115541,ets,3694,4919,115165,115266,115351,115422,115482,5250,5647,115643,115725,115791,115844,115886,115165,109309,121159,115266,109406,120970,115351,109416,121286,115422,109575,121312,115482,109482,121271,-0.05
4962470,"Provo city, Utah",19,2024,115496,arima,2810,3004,116375,116382,116387,116391,116395,2095,2489,115785,115892,115932,115946,115952,115785,111505,120064,115892,109398,122385,115932,107670,124194,115946,106188,125704,115952,104884,127020,0.39
1260950,"Riverview CDP, Florida",14,2024,115462,ets,15056,15609,121514,125266,128999,132713,136409,27327,27396,119012,122561,126111,129660,133209,121514,111196,132078,125266,114941,135318,128999,118542,139458,132713,122411,143092,136409,125835,146609,18.14
0660620,"Richmond city, California",19,2024,115356,ets,1686,1763,115776,116396,116995,117575,118137,3965,4425,115240,115324,115263,115308,115275,115776,112107,119533,116396,112723,119970,116995,113276,120715,117575,113911,121266,118137,114376,121764,2.41
0883835,"Westminster city, Colorado",19,2024,115301,ets,1421,1508,115714,115984,116232,116460,116671,1430,1573,115352,115378,115392,115399,115402,115714,113466,118016,115984,113734,118174,116232,113953,118511,116460,114215,118722,116671,114366,118893,1.19
1822000,"Evansville city, Indiana",19,2024,114812,arima,4889,5245,115666,115378,115146,114959,114809,2243,2845,115274,114926,115188,114991,115139,115274,111342,119205,114926,109142,120711,115188,108150,122225,114991,106803,123179,115139,106003,124275,0.28
0620802,"East Los Angeles CDP, California",19,2024,114544,arima,13653,15207,112319,111537,110758,109983,109213,10721,12702,114327,114243,114211,114199,114194,114327,103029,125625,114243,98689,129797,114211,95470,132952,114199,92782,135615,114194,90417,137971,-0.31
